url,city,price,price_per_sqm,description,district_name,street_address,area_m2,bedrooms,floor,upload_date,transaction_type,source
https://www.myhome.ge/pr/21070648/iyideba-5-otaxiani-bina-batumshi/,ბათუმი,149998.0,1363.0,იყიდება 5 ოთახიანი ბინა ბათუმში,ძველი ბათუმის უბანი,მელიქიშვილის ქუჩა 92,110.0,3.0,6.0,2025-07-24 11:16:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/18733012/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,48500.0,1427.0,იყიდება 1 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ნიჟარაძე რ. ქუჩა 18,34.0,1.0,6.0,2025-07-24 11:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21903689/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,36000.0,1200.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,ხიმშიაშვილი შ. ქ. 57,30.0,1.0,3.0,2025-07-24 10:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/18091952/iyideba-3-otaxiani-bina-batumshi/,ბათუმი,194998.0,2500.0,იყიდება 3 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,ხიმშიაშვილი შ. ქ.,78.0,2.0,14.0,2025-07-24 10:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/17817420/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,52499.0,1641.0,იყიდება 1 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ლეხ და მარია კაჩინსკების ქუჩა,32.0,1.0,2.0,2025-07-24 09:59:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20991317/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,39900.0,1032.0,იყიდება 1 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ლეხ და მარია კაჩინსკების ქუჩა 17A,38.67,1.0,12.0,2025-07-24 09:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20991332/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,79899.0,1259.0,იყიდება 2 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ლეხ და მარია კაჩინსკების ქუჩა 17A,63.47,2.0,6.0,2025-07-24 09:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21891977/iyideba-5-otaxiani-bina-batumshi/,ბათუმი,514995.0,3787.0,იყიდება 5 ოთახიანი ბინა ბათუმში,ძველი ბათუმის უბანი,რუსთაველის ქ. 15,136.0,3.0,3.0,2025-07-24 00:12:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21899959/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,75999.0,1900.0,იყიდება 2 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,ხიმშიაშვილი შ. ქ. 15ა,40.0,1.0,14.0,2025-07-24 00:00:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21478334/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,41900.0,1309.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,შარტავა ჟ. ქ. 16,32.0,1.0,11.0,2025-07-23 00:48:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21895167/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,64999.0,1512.0,იყიდება 2 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,აეროპორტის გზატკეცილი,43.0,1.0,12.0,2025-07-23 00:25:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21707714/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,159998.0,2623.0,იყიდება 2 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,ხიმშიაშვილი შ. ქ. 1,61.0,2.0,4.0,2025-07-22 18:55:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21872648/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,50999.0,1700.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,ხიმშიაშვილი შ. ქ. 7დ,30.0,1.0,20.0,2025-07-22 15:14:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21850371/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,61999.0,1393.0,იყიდება 2 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,აბუსერიძე ტ. ქ. 21,44.5,1.0,10.0,2025-07-21 22:16:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21868762/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,90989.0,2068.0,იყიდება 2 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,შარტავა ჟ. ქ. 16,44.0,1.0,34.0,2025-07-18 20:19:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21866900/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,74999.0,1667.0,იყიდება 2 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,ინასარიძის ქ. 21,45.0,1.0,20.0,2025-07-18 17:38:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21864910/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,52990.0,1656.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,ინასარიძის ქ. 13,32.0,1.0,16.0,2025-07-18 17:14:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21445281/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,69999.0,2258.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,Химшиашвили,31.0,1.0,29.0,2025-07-02 00:23:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/20514848/iyideba-4-otaxiani-bina-batumshi/,ბათუმი,149998.0,1596.0,იყიდება 4 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,შარტავა ჟ. ქ. 30,94.0,2.0,23.0,2025-06-30 19:21:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/18536241/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,47000.0,1567.0,იყიდება 1 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ლეხ და მარია კაჩინსკების ქუჩა,30.0,1.0,46.0,2025-06-28 15:48:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21685793/iyideba-2-otaxiani-bina-batumshi/,ბათუმი,127999.0,2555.0,იყიდება 2 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,შარტავა ჟ. ქ. 16,50.1,2.0,23.0,2025-07-24 15:41:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21192395/iyideba-3-otaxiani-bina-batumshi/,ბათუმი,118999.0,1400.0,იყიდება 3 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,გუდიაშვილი ლ. ქ.,85.0,2.0,4.0,2025-07-24 13:41:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21528767/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,34900.0,900.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ძველი ბათუმის უბანი,ჭავჭავაძე ი. ქუჩა,38.8,1.0,8.0,2025-07-24 13:11:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21794556/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,61999.0,1824.0,იყიდება 1 ოთახიანი ბინა ბათუმში,აეროპორტის უბანი,ანგისის ქ. 10,34.0,1.0,17.0,2025-07-24 12:39:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21904387/iyideba-1-otaxiani-bina-batumshi/,ბათუმი,68999.0,2355.0,იყიდება 1 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,შარტავა ჟ. ქ. 18,29.3,1.0,31.0,2025-07-24 11:58:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21904282/iyideba-3-otaxiani-bina-batumshi/,ბათუმი,129999.0,2218.0,იყიდება 3 ოთახიანი ბინა ბათუმში,ხიმშიაშვილის უბანი,შარტავა ჟ. ქ. 18,58.6,2.0,31.0,2025-07-24 11:50:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21844912/iyideba-3-otaxiani-bina-ortachalashi/,თბილისი,111999.0,1244.0,იყიდება 3 ოთახიანი ბინა ორთაჭალაში,ორთაჭალა,ნიკოლაძე გ. ქ.,90.0,2.0,3.0,2025-07-24 16:39:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21908444/iyideba-2-otaxiani-bina-vashlijvarshi/,თბილისი,56999.0,1179.0,იყიდება 2 ოთახიანი ბინა ვაშლიჯვარში,ვაშლიჯვარი,მაჭავარიანი მ. ქ. 26,48.35,1.0,4.0,2025-07-24 16:35:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21873918/iyideba-3-otaxiani-bina-saburtaloze/,თბილისი,179398.0,2300.0,იყიდება 3 ოთახიანი ბინა საბურთალოზე,საბურთალო,უნივერსიტეტის ქ. 39,78.0,2.0,10.0,2025-07-24 16:24:00,იყიდება,myhome.ge
